Date,Garden power consumption in kW,School power consumption in kW,Zoo power consumption in kW
31.12.2016 21:00,6.300000000000001,6.8500000000000005,73.33333333333333
31.12.2016 21:15,9.683333333333334,8.05,76.0
31.12.2016 21:30,6.1000000000000005,9.633333333333333,75.33333333333333
31.12.2016 21:45,10.049999999999999,9.833333333333334,73.33333333333333
31.12.2016 22:00,6.1000000000000005,9.766666666666667,74.33333333333333
31.12.2016 22:15,7.783333333333334,9.533333333333333,75.0
31.12.2016 22:30,8.066666666666668,9.65,71.66666666666667
31.12.2016 22:45,9.466666666666667,9.95,75.66666666666667
31.12.2016 23:00,8.133333333333333,9.766666666666667,72.0
31.12.2016 23:15,5.683333333333334,8.2,73.0
31.12.2016 23:30,6.733333333333334,6.066666666666666,76.33333333333333
31.12.2016 23:45,9.25,6.183333333333334,75.0
